eval_axis,ParEGO,NSGA2,SMSEMOA,EGBO
1055,0.05829218846846853,0.002442275360360367,0.0022512254504504533,0.025443319369369378
1060,0.05829218846846853,0.0024614986486486555,0.0022601279279279318,0.025443319369369378
1065,0.05829218846846853,0.002474139369369376,0.0022601279279279318,0.025443319369369378
1070,0.05829218846846853,0.002474139369369376,0.0022887972972973005,0.025443319369369378
1075,0.05829218846846853,0.002487204774774781,0.0024340815315315335,0.025443319369369378
1080,0.05829218846846853,0.002487204774774781,0.0024769897747747758,0.025443319369369378
1085,0.05829218846846853,0.002813948693693702,0.002954485810810816,0.025443319369369378
1090,0.05829218846846853,0.002813948693693702,0.002954485810810816,0.025443319369369378
1095,0.05829218846846853,0.002813948693693702,0.0030879450000000056,0.025443319369369378
1100,0.05829218846846853,0.002813948693693702,0.0030879450000000056,0.025443319369369378
1105,0.07448165779279285,0.0028425209909909988,0.0030879450000000056,0.025443319369369378
1110,0.07448165779279285,0.0028425209909909988,0.00309745112612613,0.025443319369369378
1115,0.07448165779279285,0.0028867041441441523,0.00309745112612613,0.025443319369369378
1120,0.07897659743243247,0.002925906711711721,0.00309745112612613,0.025443319369369378
1125,0.07897659743243247,0.002925906711711721,0.00309745112612613,0.025443319369369378
1130,0.07897659743243247,0.002925906711711721,0.003141523423423427,0.025443319369369378
1135,0.07897659743243247,0.0029505677477477585,0.003141523423423427,0.031964750450450455
1140,0.07897659743243247,0.002990421171171185,0.003141523423423427,0.03315547144144145
1145,0.07897659743243247,0.002990421171171185,0.003141523423423427,0.03315547144144145
1150,0.07897659743243247,0.002990421171171185,0.003141523423423427,0.03315547144144145
1155,0.07897659743243247,0.0030894818918919017,0.0033428406756756796,0.03315547144144145
1160,0.07897659743243247,0.0031013640540540643,0.0033428406756756796,0.037023432117117124
1165,0.07897659743243247,0.0032433868468468596,0.003401661036036039,0.037023432117117124
1170,0.07897659743243247,0.0033141741441441567,0.003464419504504507,0.037023432117117124
1175,0.07897659743243247,0.0033141741441441567,0.003464419504504507,0.03749287153153154
1180,0.07897659743243247,0.003634317387387402,0.0038047695045045093,0.03749287153153154
1185,0.07897659743243247,0.003634317387387402,0.0038529804504504554,0.03872015193693694
1190,0.07897659743243247,0.004315887837837852,0.003877703648648653,0.03872015193693694
1195,0.07944894477477482,0.0043245765315315455,0.003892472657657666,0.03953828166666667
1200,0.08188944256756758,0.0043245765315315455,0.004270598018018027,0.03953828166666667
1205,0.08188944256756758,0.004359915090090104,0.004270598018018027,0.03953828166666667
1210,0.08188944256756758,0.004359915090090104,0.004327161621621631,0.03953828166666667
1215,0.08188944256756758,0.004359915090090104,0.004327161621621631,0.03953828166666667
1220,0.08188944256756758,0.0045155583333333455,0.00437380608108109,0.03953828166666667
1225,0.08188944256756758,0.0045155583333333455,0.00437380608108109,0.03953828166666667
1230,0.08188944256756758,0.0045952279279279406,0.00437380608108109,0.03953828166666667
1235,0.08188944256756758,0.0045952279279279406,0.0043861018468468555,0.04110911184684685
