objectives;is_feasible;variables;evaluation_time
[3.8127734640000104, -2.4999999999977214];True;[-2.692151880138778, 0.420761968769523, 2.9007706017470225, 3.6675544631595844, 3.450754095099441, 2.235342960377384, -4.932346000086774, 3.353054039125018, 1.4565153160088906, -0.5429624092166545];170.15306859998964
[3.867997104000001, -1.8605087];True;[0.4181243929240255, 0.7767483520090597, -4.826958333707399, 0.10524059681906284, 1.9568298419595322, 2.7542808080425534, 4.5660399669092815, -1.20409148199336, 3.3915991924326114, 3.936120166669699];166.36746710003354
[3.3781983120000083, -2.0658754];True;[-4.0127766956040745, 0.6197707100724239, -4.433484250923313, 0.64343235500486, -0.4952047161696127, -0.2801174682553622, -2.2637421952057233, -0.7257878736995984, 3.1736117081619515, -3.0276245840419937];182.02145789994393
[3.6628392240000003, -2.490050114];True;[2.4093295209173293, -4.463388547873293, -2.67786927712905, 3.2292243739847386, 4.111439884861531, -3.92162860722171, 2.637991494655475, -2.898069678721339, 2.1930892944134106, 1.7557584724763506];182.74140780000016
[3.726162000000005, -2.4999999999994023];True;[-2.042415465067239, -2.513104050846037, 3.636233045211002, 4.000945069222412, -2.721497130002878, 0.9409089323191466, 2.2298483794069357, 2.097133032381425, 2.938013846395677, -3.258559342661309];177.7796296000015
[3.8129374080000114, -2.41006088];True;[-4.468333878972194, 1.5398428728828906, -3.730993862662415, -1.0062848617426368, 3.7894570361560813, 1.2902484578667162, 3.22194673538592, 2.851486554707824, 3.764124668429247, 2.073384955169999];174.16462669998873
[3.5241788880000096, -2.499999999997308];True;[3.4769436268071576, 3.6013236909662254, -4.612709969063196, -2.6885097885251383, -1.429773364039495, -1.682513246916637, 1.0829758234357145, 1.160878553619976, 1.7252924353317853, -4.677481718652236];181.48413160000928
[3.718605672000011, -2.4999999999992832];True;[-0.45656340977559307, -2.069147250895531, -2.584436632200541, 4.772297980984796, -0.9165207562509963, -0.6206993832044496, 2.5283042706386425, -0.4411197187707261, 1.7633474749677367, 2.9821907597426485];173.1187096000649
[3.550110768000006, -2.499999999999583];True;[2.8236846064391923, -4.102669031070118, 2.480426970244297, -3.369319047986682, -4.299520540700483, 0.44911903614005855, -2.2808801053811445, 4.333672081274424, -3.658791217851972, 4.78125524430766];173.1560146000702
[4.010484096000008, -2.499999999998707];True;[-2.3281575670793986, 3.052567862347658, 4.134682145812604, 3.6297610752625573, 2.5564544879658335, 0.5476233481941382, 0.5053894514898634, 4.934334606589822, 2.1101402686557673, -0.672224538554441];173.83080220001284
[3.803583096000013, -2.3782399];True;[-0.12266031205582628, 3.222564982002435, 0.5908198898396799, -3.3198885816362744, 0.5457443124945698, 4.405379956361072, 4.614992737584174, 4.898768973888675, -4.221732227102216, -1.7221763542467694];172.26533960003871
[3.484552392000004, -2.4999999999992477];True;[-1.4805791716229342, -4.307284350618791, -0.3118515928570247, -4.51673754362314, -1.7199622990060934, 4.4272652415951725, -4.294718411347786, 1.679269349660764, 4.1118515143950205, 0.5345840874541805];158.2218626999529
[3.597645456000012, -2.499999999997898];True;[-0.7534024018143963, 4.320626631614868, -4.722951863625705, -1.5626242487707143, 1.927060030216948, 4.278441623649, -1.0888724229611246, 2.236703051779428, -3.2951136242732373, -1.9822087576199419];162.41920950007625
[3.458040336000001, -2.1033455];True;[-4.31428776587836, -3.9599662397440705, 3.881121606387497, -4.347511068460815, 2.882644328560019, -3.4479737689020515, -0.9913420180866428, 1.9046588460604097, 4.578803038948639, -3.2916940009891538];162.95389480004087
