eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
55;[2.9725099200000047, -2.4999999999992557];[-2.9725099200000047, 2.4999999999992557];0.0;True;[-4.18100129349299, 0.3330157957788291, -4.979088552744132, -3.1735123929132802, -4.730708722958315, -0.34348108079769535, -1.977412945641639, -2.248658400299317, -4.996820250497763, -3.2861272176848058];157.6261881999999;14.797415900000487;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_292542
56;[2.6403986880000065, -1.9633806];[-2.6403986880000065, 1.9633806];0.0;True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -5.0, 0.04068734067236335, -5.0];159.06600699999763;15.244178599998122;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_282122
57;[2.679280632, -2.499999999970721];[-2.679280632, 2.499999999970721];0.0;True;[-4.718621365832395, -5.0, -4.949757190395355, -4.842721803876257, -5.0, -4.867294162870914, -5.0, -4.89602581032481, 1.1151783828846256, -5.0];158.43453450000015;15.244178599998122;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_658379
58;[2.75879455200001, -0.249892];[-2.75879455200001, 0.249892];0.0;True;[-5.0, -5.0, -5.0, -5.0, -5.0, -5.0, -4.9940735319072065, 4.225735953683094, -5.0, -3.709660810670327];156.36421619999965;15.244178599998122;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_533499
59;[2.7194873040000123, -2.4999999999982006];[-2.7194873040000123, 2.4999999999982006];0.0;True;[-5.0, -4.983983784581774, -4.864167579760816, -5.0, -4.924482339172087, 3.116244038907981, -4.93472673276944, -4.708972154836416, -5.0, -4.997717816720452];157.43072390000088;15.244178599998122;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_291842
60;[3.0279279600000097, -2.1755716];[-3.0279279600000097, 2.1755716];0.0;True;[-2.2030034358236756, -5.0, -2.832939106700809, -1.849726715068662, -5.0, -0.9317117599402449, -4.533364274065537, -3.2451115636600534, 3.577712041552253, -5.0];154.35732439999992;15.244178599998122;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_603
61;[2.9424742560000134, -2.499999999953695];[-2.9424742560000134, 2.499999999953695];0.0;True;[-5.0, -5.0, -4.791625688483015, -5.0, 0.5826247425176687, -0.36164227558809614, -4.749914362126824, -2.403376446106165, 0.7495855633028023, -5.0];160.83313810000254;15.594605899997987;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_983615
62;[2.8221469200000042, -2.4999999999976703];[-2.8221469200000042, 2.4999999999976703];0.0;True;[-5.0, -4.841755325148815, -4.6300405306130195, -5.0, -0.9694118079175347, -5.0, -3.8345356965741297, -5.0, 2.730679505606073, -5.0];166.49571989999822;15.594605899997987;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_178869
63;[2.8883474640000046, -2.4999999999986064];[-2.8883474640000046, 2.4999999999986064];0.0;True;[-5.0, -4.9018149874216626, -4.864167579760816, -5.0, 3.0616820118601105, 2.454537989940718, -4.93472673276944, -4.708972154836416, -4.589024981774133, -4.997717816720452];165.06298759999845;15.594605899997987;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_706548
64;[2.924999640000009, -2.499999999998632];[-2.924999640000009, 2.499999999998632];0.0;True;[-4.718621365832395, -4.984258474284035, -4.949757190395355, -4.842721803876257, 3.280013657385121, 2.181334166039699, -5.0, -4.89602581032481, -2.853292259326188, -5.0];164.64749750000192;15.594605899997987;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_694209
